"R","G","B","frameId","seconds","hexRGB"
93.76464,106.20472,87.20392,63,5,"#5D6A57"
93.992512,106.58344,87.329624,188,10,"#5D6A57"
94.59568,107.10768,87.401648,313,15,"#5E6B57"
94.527784,107.12056,87.232256,438,20,"#5E6B57"
94.856,107.32528,86.874672,563,25,"#5E6B56"
95.184816,107.53192,86.723112,688,30,"#5F6B56"
95.127328,107.2516,86.636376,813,35,"#5F6B56"
95.467072,107.6488,87.412368,938,40,"#5F6B57"
96.526712,108.72968,89.059792,1063,45,"#606C59"
92.3800909090909,103.862424242424,86.1884545454545,1158.5,50,"#5C6756"
