117.65,135.62,136.68
118.02,135.8,137.12
117.92,135.79,137.06
118.15,135.87,137.31
117.67,135.73,136.79
118.17,135.88,137.44
118,135.79,137.26
118.02,135.75,137.3
117.44,135.5,136.63
117.88,135.59,137.21
117.61,135.42,136.9
117.7,135.39,137.03
117.1,135.12,136.34
117.62,135.16,136.92
117.38,135,136.6
117.27,134.9,136.53
116.69,134.64,135.85
117.11,134.68,136.39
116.82,134.52,136.05
116.84,134.47,136.09
116.24,134.21,135.41
116.67,134.25,135.95
116.42,134.09,135.65
116.46,134.01,135.68
115.88,133.76,134.98
116.32,133.8,135.52
116.1,133.64,135.24
116.11,133.54,135.23
115.59,133.31,134.59
116.03,133.36,135.12
115.67,133.17,134.74
115.64,133.1,134.73
115.06,132.86,134.1
115.46,132.9,134.58
115.2,132.74,134.27
115.21,132.62,134.29
114.62,132.35,133.59
115.01,132.38,134.06
114.71,132.19,133.69
114.69,132.06,133.67
114.1,131.78,132.99
114.53,131.82,133.52
114.27,131.6,133.19
114.4,131.52,133.3
113.8,131.18,132.54
114.03,131.15,132.92
113.68,130.94,132.53
113.68,130.86,132.54
113.07,130.56,131.85
113.41,130.54,132.29
113.01,130.32,131.88
113.03,130.19,131.92
112.4,129.9,131.19
112.57,129.78,131.44
111.99,129.49,130.78
112.35,129.46,131.25
112,129.25,130.84
112.03,129.15,130.89
111.41,128.82,130.15
111.36,128.75,130.06
111.47,128.66,130.25
110.86,128.34,129.57
111.24,128.31,130.07
110.79,128.09,129.59
110.77,127.91,129.58
110.04,127.57,128.76
110.41,127.53,129.25
110.01,127.29,128.82
110.01,127.12,128.82
109.31,126.81,128.03
109.66,126.79,128.51
109.34,126.58,128.16
109.42,126.48,128.25
108.74,126.13,127.47
109.14,126.14,127.94
108.67,125.91,127.46
108.67,125.79,127.47
108.04,125.49,126.75
108.41,125.51,127.24
108.05,125.29,126.85
108.02,125.16,126.84
107.41,124.85,126.14
107.78,124.86,126.6
107.45,124.66,126.21
107.46,124.54,126.24
106.81,124.21,125.51
107.24,124.25,126.04
106.93,124.02,125.65
106.97,123.88,125.68
106.38,123.56,124.95
106.25,123.42,124.94
106.22,123.34,124.88
106.32,123.26,125.03
105.69,122.98,124.31
106.02,122.97,124.74
105.66,122.73,124.29
105.6,122.61,124.23
104.93,122.26,123.48
105.33,122.25,123.97
104.95,122.01,123.55
104.94,121.9,123.53
104.33,121.61,122.85
104.77,121.65,123.38
104.44,121.43,122.97
104.46,121.34,123
103.75,120.99,122.21
104.13,121.02,122.69
103.75,120.78,122.27
103.76,120.69,122.3
103.12,120.37,121.56
103.5,120.38,122.04
103.16,120.18,121.67
103.1,120.06,121.64
102.54,119.78,121
102.94,119.83,121.52
102.64,119.62,121.17
102.67,119.57,121.24
102.05,119.25,120.53
102.01,119.17,120.46
102.2,119.08,120.67
101.54,118.76,119.95
101.91,118.76,120.42
101.55,118.58,120.01
101.57,118.42,120.03
100.9,118.11,119.26
101.3,118.08,119.75
100.9,117.88,119.25
100.93,117.72,119.28
100.28,117.42,118.53
100.68,117.43,119.04
100.28,117.2,118.58
100.37,117.05,118.69
99.698,116.75,117.91
100.11,116.75,118.4
99.749,116.55,117.94
99.741,116.32,117.96
99.058,116.03,117.16
99.428,115.99,117.63
98.969,115.77,117.09
99.034,115.57,117.16
98.363,115.3,116.37
98.754,115.28,116.87
98.306,115.08,116.4
98.305,114.85,116.42
97.628,114.57,115.64
98,114.49,116.12
97.645,114.32,115.73
97.694,114.11,115.79
97.015,113.8,114.98
97.376,113.73,115.44
96.857,113.51,114.88
96.894,113.33,114.93
96.171,113.01,114.12
96.532,112.93,114.58
96.076,112.76,114.06
96.056,112.56,114.06
95.394,112.25,113.3
95.747,112.17,113.77
95.278,111.98,113.26
95.288,111.74,113.3
94.569,111.45,112.49
95.019,111.47,113.05
94.608,111.24,112.58
94.709,111.03,112.66
94.061,110.74,111.87
94.336,110.66,112.29
93.885,110.51,111.76
93.85,110.27,111.77
93.181,110,111
93.516,109.92,111.44
93.114,109.76,110.97
93.148,109.56,111.02
92.463,109.26,110.23
92.813,109.17,110.71
92.342,108.99,110.21
92.345,108.77,110.24
91.673,108.49,109.48
91.716,108.35,109.46
91.904,108.18,109.64
91.297,107.89,108.89
91.287,107.72,108.95
91.225,107.59,108.91
91.253,107.47,109.01
90.591,107.21,108.24
90.913,107.12,108.67
90.387,106.91,108.1
90.39,106.72,108.12
89.691,106.41,107.32
90.056,106.36,107.8
89.655,106.18,107.33
89.607,105.98,107.32
88.955,105.66,106.57
89.366,105.65,107.07
88.941,105.42,106.54
89.03,105.25,106.57
88.25,104.94,105.73
88.627,104.9,106.19
88.203,104.69,105.68
88.229,104.51,105.71
87.545,104.19,104.91
87.911,104.15,105.39
87.482,103.92,104.86
87.499,103.71,104.89
86.784,103.4,104.07
87.155,103.36,104.53
86.76,103.12,104.06
86.847,102.96,104.18
86.116,102.65,103.35
86.558,102.6,103.83
86.156,102.4,103.31
86.084,102.21,103.29
85.361,101.88,102.46
85.755,101.85,102.93
85.286,101.62,102.39
85.241,101.46,102.36
84.49,101.05,101.51
84.919,101.02,101.99
84.497,100.83,101.51
84.5,100.65,101.52
83.781,100.26,100.67
84.194,100.23,101.15
83.813,100.04,100.69
83.893,99.867,100.74
83.267,99.571,99.965
83.668,99.532,100.46
83.21,99.323,99.943
83.178,99.115,99.894
82.528,98.826,99.133
82.886,98.78,99.583
82.477,98.527,99.079
82.469,98.343,99.06
81.767,97.997,98.246
82.111,97.948,98.711
81.74,97.794,98.258
81.702,97.593,98.204
81.123,97.308,97.508
81.224,97.221,97.573
81.369,97.077,97.775
80.784,96.793,97.086
81.161,96.745,97.522
80.649,96.518,96.974
80.679,96.342,96.993
79.998,96.033,96.182
80.374,95.982,96.668
79.948,95.8,96.156
79.957,95.624,96.16
79.304,95.296,95.391
79.687,95.256,95.858
79.306,95.103,95.375
79.308,94.891,95.383
78.654,94.611,94.611
79.094,94.574,95.141
78.739,94.407,94.683
78.789,94.226,94.673
78.183,93.905,93.876
78.463,93.902,94.318
78.004,93.708,93.805
78.055,93.523,93.893
77.393,93.239,93.087
77.729,93.219,93.528
77.342,92.992,93.055
77.34,92.816,93.052
76.655,92.472,92.226
77.015,92.448,92.703
76.6,92.249,92.23
76.726,92.092,92.356
76.024,91.796,91.552
76.145,91.73,91.628
76.289,91.541,91.777
75.833,91.237,91.164
75.321,90.934,90.716
75.634,90.983,91.08
75.248,90.727,90.583
75.261,90.623,90.611
74.534,90.208,89.742
74.902,90.226,90.197
74.532,89.963,89.726
74.679,89.862,89.901
73.974,89.503,89.033
0,0,0
